srcStateName,srcYear,"Micro, Small, Medium Enterprises (MSME) Projects under Prime Minister Employment Generation Programme (PMEGP)",Fund released under Prime Minister Employment Generation Programme (PMEGP),Employment Generated under Prime Minister Employment Generation Programme (PMEGP),YearCode,Year
MADHYA PRADESH,2020-21,4854,1380524340,38832,2020,"Calendar Year (Jan - Dec), 2020"
MAHARASHTRA,2020-21,3094,881373224,24752,2020,"Calendar Year (Jan - Dec), 2020"
MANIPUR,2020-21,1556,589892094,12448,2020,"Calendar Year (Jan - Dec), 2020"
MEGHALAYA,2020-21,359,57952217,2872,2020,"Calendar Year (Jan - Dec), 2020"
MIZORAM,2020-21,810,141233029,6480,2020,"Calendar Year (Jan - Dec), 2020"
NAGALAND,2020-21,740,204532433,5920,2020,"Calendar Year (Jan - Dec), 2020"
ODISHA,2020-21,3171,874695105,25368,2020,"Calendar Year (Jan - Dec), 2020"
PUDUCHERRY,2020-21,44,11680267,352,2020,"Calendar Year (Jan - Dec), 2020"
PUNJAB,2020-21,1650,500790940,13200,2020,"Calendar Year (Jan - Dec), 2020"
RAJASTHAN,2020-21,2772,880568231,22176,2020,"Calendar Year (Jan - Dec), 2020"
SIKKIM,2020-21,57,15227963,456,2020,"Calendar Year (Jan - Dec), 2020"
TAMIL NADU,2020-21,5188,1388158370,41504,2020,"Calendar Year (Jan - Dec), 2020"
TELANGANA,2020-21,2025,637589233,16200,2020,"Calendar Year (Jan - Dec), 2020"
TRIPURA,2020-21,842,182942157,6736,2020,"Calendar Year (Jan - Dec), 2020"
UTTAR PRADESH,2020-21,9994,3298348681,79952,2020,"Calendar Year (Jan - Dec), 2020"
UTTARAKHAND,2020-21,2249,453568663,17992,2020,"Calendar Year (Jan - Dec), 2020"
WEST BENGAL,2020-21,2070,742450115,16560,2020,"Calendar Year (Jan - Dec), 2020"
ANDAMAN AND NICOBAR ISLAND,2019-20,93,14615705,744,2019,"Calendar Year (Jan - Dec), 2019"
ANDHRA PRADESH,2019-20,2198,904449835,17584,2019,"Calendar Year (Jan - Dec), 2019"
ARUNACHAL PRADESH,2019-20,211,36372269,1688,2019,"Calendar Year (Jan - Dec), 2019"
ASSAM,2019-20,2587,355682665,20696,2019,"Calendar Year (Jan - Dec), 2019"
BIHAR,2019-20,2216,695016746,17728,2019,"Calendar Year (Jan - Dec), 2019"
CHANDIGARH,2019-20,14,2870292,112,2019,"Calendar Year (Jan - Dec), 2019"
CHHATTISGARH,2019-20,2810,609723310,22480,2019,"Calendar Year (Jan - Dec), 2019"
DADRA NAGAR HAVELI,2019-20,4,818166,32,2019,"Calendar Year (Jan - Dec), 2019"
DAMAN AND DIU,2019-20,3,376129,24,2019,"Calendar Year (Jan - Dec), 2019"
DELHI,2019-20,93,11059157,744,2019,"Calendar Year (Jan - Dec), 2019"
GOA,2019-20,90,24434411,720,2019,"Calendar Year (Jan - Dec), 2019"
GUJARAT,2019-20,3980,2873686472,31840,2019,"Calendar Year (Jan - Dec), 2019"
